replace
iteration,reads,,,,,,,,,,,writes,
,10,20,30,40,50,60,70,80,90,100,10,20,30,40,50,60,70,80,90,100,
1,5,8,29,37,45,57,68,14,71,23,1,1,1,1,1,1,1,1,1,1
2,4,9,22,21,15,48,12,68,54,38,1,1,1,1,1,1,1,1,1,1
3,3,10,29,31,34,52,14,5,39,37,1,1,1,1,1,1,1,1,1,1
4,11,4,14,20,21,29,45,58,33,44,1,1,1,1,1,1,1,1,1,1
5,11,15,23,41,36,39,50,6,67,72,1,1,1,1,1,1,1,1,1,1
6,5,8,3,22,8,35,34,52,78,83,1,1,1,1,1,1,1,1,1,1
7,7,7,16,9,38,7,28,51,15,59,1,1,1,1,1,1,1,1,1,1
8,6,17,14,27,16,29,6,46,35,52,1,1,1,1,1,1,1,1,1,1
9,9,10,8,20,40,26,65,13,46,101,1,1,1,1,1,1,1,1,1,1
10,4,2,28,10,41,54,48,28,86,41,1,1,1,1,1,1,1,1,1,1
11,7,12,16,20,19,23,9,24,89,94,1,1,1,1,1,1,1,1,1,1
12,4,18,3,2,38,3,37,11,66,21,1,1,1,1,1,1,1,1,1,1
13,2,11,23,39,49,13,33,37,11,29,1,1,1,1,1,1,1,1,1,1
14,9,18,19,35,38,7,38,45,61,26,1,1,1,1,1,1,1,1,1,1
15,10,13,4,31,5,61,12,10,90,17,1,1,1,1,1,1,1,1,1,1
16,2,11,8,5,20,27,8,13,33,57,1,1,1,1,1,1,1,1,1,1
17,11,10,16,30,43,52,65,62,46,66,1,1,1,1,1,1,1,1,1,1
18,6,16,19,18,45,53,19,47,11,38,1,1,1,1,1,1,1,1,1,1
19,4,13,19,30,27,49,56,43,10,97,1,1,1,1,1,1,1,1,1,1
20,11,19,17,35,20,10,35,53,80,31,1,1,1,1,1,1,1,1,1,1
21,8,6,15,5,15,40,58,42,36,20,1,1,1,1,1,1,1,1,1,1
22,10,10,11,39,19,38,16,65,62,85,1,1,1,1,1,1,1,1,1,1
23,2,21,24,7,46,32,27,61,76,88,1,1,1,1,1,1,1,1,1,1
24,11,4,14,26,49,29,37,6,40,13,1,1,1,1,1,1,1,1,1,1
25,4,10,31,25,48,10,42,64,73,12,1,1,1,1,1,1,1,1,1,1
26,7,3,3,12,30,7,52,18,36,28,1,1,1,1,1,1,1,1,1,1
27,4,7,10,18,34,40,16,39,44,26,1,1,1,1,1,1,1,1,1,1
28,2,18,4,21,31,12,40,73,35,33,1,1,1,1,1,1,1,1,1,1
29,3,12,15,16,12,5,41,63,31,98,1,1,1,1,1,1,1,1,1,1
30,11,15,15,30,42,57,48,68,76,42,1,1,1,1,1,1,1,1,1,1
